軑,dàj,dièi,,,,,,
釱,dàj,dièi,,,,,,
遞,diéi,dièi,,,,,,
逮,dö̀i,dièi,,,,,,
𢰂,tièi,dièi,,,,,,
肑,prök,tiek,,,,,,
䌦,dàu,diek,,,,,,
樀,tiek,diek,,,,,,
苖,tchyuk,diek,,,,,,
扚,tiek,tiéu,,,,,,
𧜣,tieu,tiéu,,,,,,
弔,tiek,tièu,,,,,,
蔦,tiéu,tièu,,,,,,
𨑩,tiek,tièu,,,,,,
𦒻,tiém,tièm,,,,,,
𧽍,tien,dièn,,,,,,
殿,dièn,tièn,,,,,,
唸,tièm,tièn,,,,,,
墆,dièi,diet,,,,,,
荎,dcyi,diet,,,,,,
墊,tièm,diep,,,,,,
𧚊,tiem,tiep,,,,,,
㝪,tièm,tiep,,,,,,
㞟,dièn,tiéng,,,,,,
釘,tieng,tièng,,,,,,
定,dièng,tièng,,,,,,
奠,dièn,tièng,,,,,,
錠,dièng,tièng,,,,,,
涏,dièn,diéng,,,,,,
奲,tsjhyá,tö́,,,,,,
揣,tschüḯ,tuö́,,,,,,
𨹄,tuö,tuö́,,,,,,
𨹃,tuö,tuö́,,,,,,
爹,tcya,dö́,,,,,,
𩊜,tuö́,duö́,,,,,,
跢,tàj,tö̀,,,,,,
大,dàj,dö̀,,,,,,
惰,duö́,duö̀,,,,,,
桗,tuö,tuö̀,,,,,,
敠,tshvät,tuat,,,,,,
蝀,tung,túng,,,,,,
凍,tung,tùng,,,,,,
涷,tung,tùng,,,,,,
詷,dúng,dùng,,,,,,
郖,tu,dù,,,,,,
楮,tchyó,tó,,,,,,
度,dak,dò,,,,,,
秅,dcra,tò,,,,,,
𦘴,to,tò,,,,,,
𤴱,tò,tò,,,,,,
肚,tó,dó,,,,,,
𥀁,tó,dó,,,,,,
咄,tuat,tuot,,,,,,
讀,dù,duk,,,,,,
凸,diet,duot,,,,,,
瑇,dö̀i,dok,,,,,,
纛,dàu,dok,,,,,,
𧛔,tàu,tok,,,,,,
𡰪,tuk,tok,,,,,,
褍,tuö́,tuan,,,,,,
𥠄,tuö́,tuan,,,,,,
頧,tuöi,tuö́i,,,,,,
祋,tuat,tuàj,,,,,,
弴,tuon,tieu,,,,,,訓“彫弓”
頓,tuot,tùon,,,,,,
遁,dúon,dùon,,,,,,
遯,dúon,dùon,,,,,,
鶨,tchüä̀n,dùon,,,,,,
咡,njy,njỳ,,,,,,
誀,njy,njỳ,,,,,,
洱,njý,njỳ,,,,,,
筏,puat,büot,,,,,,
坺,buat,büot,,,,,,
颰,buat,püot,,,,,,
轓,phüon,püon,,,,,,
繙,phüon,büon,,,,,,
蕃,püon,büon,,,,,,
鐇,püon,büon,,,,,,
㺕,byä̀n,büon,,,,,,
旛,phüon,büon,,,,,,
藩,püon,büon,,,,,,
坊,püang,büang,,,,,,
方,püang,büang,,,,,,
肪,püang,büang,,,,,,
鴋,püang,büang,,,,,,
反,phüon,püón,,,,,,
阪,brán,püón,,,,,,
妨,phüang,phüàng,,,,,,
邡,püang,phüàng,,,,,,
放,püáng,püàng,,,,,,
舫,pàng,püàng,,,,,,
防,büang,büàng,,,,,,
范,phüöm,büö́m,,,,,,
䪻,byä̀n,büón,,,,,,
帆,büöm,büö̀m,,,,,,
颿,büöm,büö̀m,,,,,,
泛,büöp,phüö̀m,,,,,,
𠆩,büöm,phüö̀m,,,,,,
氾,büöm,phüö̀m,,,,,,
䒦,phüöm,phüö̀m,,,,,,
飯,büón,büòn,,,,,,
閞,byä̀n,büòn,,,,,,
𣀔,tschüòn,phüòn,,,,,,
𥇖,pyn,phüëi,,,,,,
騑,phüëi,püëi,,,,,,
𩇯,byì,büëi,,,,,,
餥,püëi,püë́i,,,,,,
蜰,büëi,püë́i,,,,,,
誹,püëi,püë̀i,,,,,,
䟛,buat,püë̀i,,,,,,
腓,büëi,büë̀i,,,,,,
蜚,püë́i,büë̀i,,,,,,
㔗,byt,büë̀i,,,,,,
䆏,büë́i,büë̀i,,,,,,
疿,püë̀i,püö̀j,,,,,,
橃,büot,püö̀j,,,,,,
䚨,buat,püö̀j,,,,,,
䑔,büot,phüö̀j,,,,,,
蘴,phyong,phyung,,,,,,
氛,phüën,büën,,,,,,
頒,pran,büën,,,,,,
